log-TPM	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
b1181	28.0	6.656197843453546	0.5460752421420894	5.719379764293436	6.268053207928647	6.6691307003941755	7.047491402236	8.056481452611209	0.08204011584168298	0.006730580607316763	-0.2617260920643344	-0.4980820651724172	-0.36418406337449133
b1182	28.0	2.708492205716404	0.8642533830361466	1.3069470654338364	2.1054630614670877	2.6071266694702624	3.3171805398240712	4.87661348063365	0.3190902234136388	0.10181857067816591	-0.03235941202490688	-0.09746374758739695	-0.1872946611640241
b1183	28.0	3.728731475195507	0.7019788622900233	2.817249624166655	3.4051680458925073	3.569204686174635	3.9302284534900536	6.631580932473694	0.1882621119165511	0.03544262278328001	-0.15079726059166979	-0.3689086883103651	-0.20755753386305595
b1184	28.0	3.5438153910807517	0.5656229849175233	2.28703095376242	3.2373351101656382	3.508203593723205	3.7578866569569787	5.612891658367175	0.1596084791383634	0.025474866612861382	-0.13667950869435294	-0.26942125498592623	-0.08598029766886486
b1185	28.0	7.296998850236027	0.4842720194722046	6.48857025062905	7.0369123547433565	7.23158708823027	7.61580654396727	8.32074701925379	0.06636591692165889	0.00440443492885253	-0.04346942099842131	-0.07336258552771954	-0.026286969987933204
b1186	28.0	7.06899578844044	0.5915078390197135	5.80288519109844	6.771188516191306	7.17733780174532	7.4693724600754905	7.9593035501700395	0.08367636036606152	0.007001733284110992	0.12598324349006335	0.2597016364255014	0.1966046297014171
b1187	28.0	7.335450443259888	0.4271914119721182	6.599229491231361	7.08960004772557	7.229197967344637	7.582196649032788	8.35941288148648	0.05823656165036724	0.0033914971128570243	-0.16144126159748068	-0.24034685986901466	-0.34392119067545945
b1188	28.0	6.932124083177209	1.3459297530458052	4.60479408570892	5.8610792357333015	7.042149470104273	7.666144555608532	9.942601376113469	0.19415834697940426	0.03769746370177474	-0.05433954487181619	-0.2548823641458518	-0.3302300604734109
b1189	28.0	7.897945546611679	1.5152301364164933	5.37146803011068	7.103961260083962	7.695582894055946	8.566786839831297	11.8720293045091	0.19185117540681787	0.0368068735049776	-0.0048579965714654	-0.025652943215579246	-0.42059151980693127
b1190	28.0	7.089620815858426	1.5177550092863534	4.797403373011575	6.10468441497509	6.9085339703783895	7.706881761154612	10.97373638482545	0.21408126734949795	0.04583078902996722	-0.004848506267653843	-0.025645491847930076	-0.38828045253009674
b1191	28.0	5.751183087073969	0.615479544260215	4.6245564154796845	5.257763083539777	5.69870591619498	6.238717375908833	6.930939642102505	0.10701790135033812	0.0114528312094307	-0.013264234334174254	-0.028450978387884993	0.17250824054581165
b1192	28.0	5.881140014614778	0.44902022192505264	4.72160675427289	5.687938490502704	5.954081525432519	6.078269782663461	6.81828780842125	0.07634918073863678	0.005829197399461026	-0.06934128741025836	-0.10850736001921849	-0.179079983042795
b1193	28.0	6.8305204813516385	0.5583446832888294	5.7367070680293555	6.531778660777109	6.853677530875774	7.285357728951995	7.70048393068442	0.08174262632155126	0.0066818569579447625	0.010244288199331998	0.01993359220146473	0.07009858663448855
b1194	28.0	5.651833632393438	3.340411062313973	1.79939482355593	2.460600328512899	4.737696968404393	9.229296465015924	10.7422724756448	0.5910313854902655	0.3493180986345427	-0.016865628957590726	-0.1963377688011105	-0.21029575990346563
b1195	28.0	4.308763686182578	1.7879996948791421	0.0	3.1064778840467717	4.269441224135765	5.500988519026682	8.965727355645885	0.4149681498228673	0.17219856536741365	-0.0673485978613921	-0.4196598250977444	-0.4058050991887188
b1196	28.0	2.4663912831572543	1.000165416389522	0.0	1.7032433982998463	2.3879051242765	3.319403836611295	4.55897059741368	0.405517738900374	0.16444463656287195	-0.09210531551888052	-0.3210390965284884	-0.25739324779851264
b1197	28.0	5.494162311746408	1.3739516208479874	3.042687965124595	4.484482957941903	5.58090509998604	6.244338199354795	9.080556780615566	0.25007481448272956	0.0625374128385716	0.019708467535073115	0.09436820481788423	-0.2426068271803002
