log-TPM	42c__wt_42c	cra_crp__delcra_ac	cra_crp__delcra_fru	cra_crp__delcra_glc	cra_crp__wt_ac	cra_crp__wt_fru	fur__delfur_fe2	fur__wt_fe	ica__ade_glc	ica__arg_sbt	ica__bw_delpurR_cytd	ica__cytd_rib	ica__gth	ica__leu_glcr	ica__met_glc	ica__no3_anaero	ica__phe_acgam	ica__thm_gal	ica__tyr_glcn	ica__ura_pyr	ica__wt_glc	omics__bw_ac	omics__bw_fum	omics__bw_glc	omics__bw_pyr	rpoB__rpoBE546V_glc	rpoB__rpoBE546V_lb	rpoB__rpoBE672K_glc	rpoB__rpoBE672K_lb	rpoB__wt_lb	ssw__wt_ac	ssw__wt_glc	ssw__wt_glyc	ssw__wt_xyl	ytf__delyafC	ytf__delybaO	ytf__delybaQ	ytf__delybiH	ytf__delydcI_ph5	ytf__delydcI_ph8	ytf__delyddM	ytf__delyeiE	ytf__delyheO	ytf__delyiaJ	ytf__delyieP	ytf__wt_glc	ytf__wt_ph5	ytf__wt_ph8
b3531	4.3767271888537	3.2149526247353197	3.4022822750080497	3.608223995472665	3.520548964510935	3.745207286178915	3.52498277182052	3.4612928782045502	4.012784914153205	3.625156718722045	2.8401500418510404	3.4759243423462802	3.119303293211665	3.279034563958195	3.194064218563515	3.660192347039115	3.71588701472858	3.8651310600275597	3.6418278623816702	3.09248459354127	3.5727670266854337	3.13388427078675	3.620486552569425	3.806911208254185	3.565584126617325	3.31657592743287	3.56575973251871	3.408898930271465	3.082125649909085	3.4263197599636497	3.22366327658049	3.41102738034489	3.10274579016878	3.3968385687346	3.4535147842109453	3.30466027043372	3.534233262701035	3.634713381243235	3.6714012150966697	3.414816023441555	3.92430686584198	3.755689908455185	3.077565717028345	3.28802842251807	3.4629794176104003	3.4486857135741102	3.75332512975198	3.47033019669711
b3532	4.58544689267682	3.29904323759495	4.193861121601195	4.06895883066656	3.583192618623005	3.752199172826675	4.0152442768866905	3.8275831129043096	4.01204966206374	4.3027884182655445	3.179971827960415	4.1742740403805705	3.79497654280918	4.09108769112019	4.078368013988936	3.729742314977015	4.38353521868186	4.37632628478929	4.009726656319775	3.87506300887501	4.165378430589383	3.43495379530192	3.85521323808595	4.157826707161361	3.585534545372715	4.13295089356756	4.03899091957296	3.9033735616275402	3.479274106231265	4.16103467742785	3.15318157747021	3.78728162097642	3.30390612423915	3.03898886656216	3.5921794720933997	3.592865039832465	4.074453158876885	3.921141389255535	4.343411953094585	4.017366088351185	4.3693500902189	4.523456521543965	3.60313514979739	3.73551434217907	3.820331215880005	3.94324404087768	4.264143689463455	4.049995634571385
b3533	2.9943627706253	2.4768330923376	2.7645819946022003	2.611960141525315	2.6525616853866696	2.87536023362764	2.8531873006902453	2.71476945179597	3.665895520863665	3.3316011766812696	2.4329701932519248	3.3081270048988403	3.06993573172578	2.980805054491735	2.927104332109475	3.0315131348358646	3.3469091183894104	3.3405074746211953	2.95310664464191	2.638578306844	3.3114820530104048	2.554180026864625	2.9389602729538398	3.40700431257638	2.878391158460335	3.29929980894057	3.14545392719054	2.79492381085742	2.706045260570315	2.563317697276835	2.40913945794836	2.92286983860336	3.38422762343089	3.00990530743998	2.956618267343995	2.710008219402885	3.12800632995779	2.67558029375442	2.93845235808727	2.6290180556844	3.43528344277213	3.4519654396456296	2.70629174110358	2.600600312721535	2.60368132718559	2.8153860607242347	3.25590081031741	2.803313096437125
b3534	4.26013101395101	3.077872796361905	4.31972765398512	4.06660774432076	4.177393974061355	4.371401649270875	4.25972879197907	4.62679740057688	4.411590113911235	3.7552437545975	2.99716010658401	4.949828580745495	4.585542391858215	3.56718159547726	3.86715238137739	3.512532628080585	4.139661297371575	4.879003763137515	3.79096583667721	3.9590924104795153	4.292228489050131	4.674297593804255	4.674109072529695	4.97640588163964	4.96588642137772	5.37125278615087	4.31814026735469	4.455044951213405	3.4176660581533502	3.715618372982455	3.30055112473456	5.05032679835945	4.99268677493695	5.0840773913115	5.250514832933965	4.846998334036179	4.962750672086625	4.912957808212175	4.5543559633788355	4.44861832995057	5.416122517152785	4.962090120243095	4.895634270658135	5.130631871967125	4.93696889438566	4.641648953229005	4.6425808488314395	4.49673363148023
b3535	0.0	1.2098850205360199	1.443477715426535	0.95974465528498	0.9681541977817025	1.731116691803375	3.5000564954014752	2.88608370542166	1.98701488919267	1.0101468696825	0.552858631899855	3.07478194128674	3.8093468848455947	1.298832966684331	1.479172096545705	2.520147042794245	1.613799282534555	1.908455839774725	2.464304290646205	2.9262980729811447	2.44656978221198	4.14959898795333	3.337948178412995	4.28181208195913	3.187334492835265	2.63849717633215	0.0	0.0	0.0	1.11846692498813	3.85920918072153	4.01172572769145	1.84952196219912	4.70135417284236	3.332631226656	2.023273584199685	0.94138695545028	2.9048830195817903	2.19683419879127	1.235382478449235	3.24101209636638	2.512166316246495	2.0443306517982203	2.5880032049678396	2.183721158687005	2.199873410375435	0.502707684468205	1.75188518775822
b3536	7.4034862202186	6.71714460899825	7.59171723152973	7.503719492224045	7.738243232647955	8.306762878305426	7.39775453174887	7.3998715312835195	7.332055133703911	7.28608424965546	6.166837408214191	8.74205516629613	7.197246404198459	7.488804907738665	7.25436341902624	7.50368703998162	7.5744187161304	7.675390473850641	7.3938891040225645	7.657483586985119	7.621336014780236	7.418839537519625	7.019242640976765	7.603978637861321	7.35998588325211	7.17726973880898	6.80980372361838	6.8602359367128045	5.708878028043375	7.4106963864117805	6.76880962181561	7.89363065707075	7.23559800471761	8.08182121188712	8.334060797151475	8.157703341898614	7.788353451001805	8.24796142866327	7.855332884687559	7.7658406119597245	8.445774969053655	8.31421151121162	8.099923077464066	8.462007638342985	8.290455572897741	7.92897467424363	7.95396064223417	7.8443365941032095
b3538	5.8719963290613	5.314595270311475	6.518141064872605	6.31988739203324	6.209357982128505	6.760386440973045	6.156734956384025	6.2545580993295395	5.984990052984481	6.325353623638995	5.050752206454355	7.32231100651253	4.6623856863510955	6.2244529337736605	6.232758339563745	6.337623793578615	6.73654766394049	6.617931014409525	6.28776663597734	6.430042699138115	6.6119520495452635	6.177364144141845	5.86476880436686	6.38509096907626	6.421832134162555	6.06968259946622	5.901051038969021	5.9718936891065795	4.562687981005045	6.307766274919995	5.41081028908443	6.81570573483952	6.15064347370264	6.88875447494345	6.73563954074792	6.41747369640542	6.72136327871183	5.992524767143015	6.70339833227212	6.67491905223729	7.33287125002215	7.266045059710249	6.408525273510286	6.798375684070145	6.57062005171385	6.25932366012292	6.827309339078255	6.773353518812675
b3539	3.46465410603962	3.4686256215564	3.412519110097735	4.055794237390315	4.24022691338984	4.302454658850655	4.062935307717785	4.0956275497939405	4.9112707721139355	5.0858549341526995	5.19811731206665	3.4983336904373097	2.766723622457285	6.047003934481645	5.362806321574036	4.8231006668540655	5.4847682785179295	4.73812747723736	5.322580608472775	4.904344960743694	4.9372100036124555	3.63687734665772	3.625877769760365	3.704264321924625	3.933338313581945	4.71281533493866	3.46005197389831	5.57576776758366	5.492729787168351	2.4153229442764754	3.11498670069739	4.53979968305971	4.50862941190689	3.45375593631013	3.79844664967441	4.013106064557225	4.461177156553465	3.8907911021990698	4.529002900444494	4.293081134851301	4.051820357700725	4.588860973609471	3.76987392909167	3.8381020863553053	4.046370362732915	3.8858391390685	4.3216426266432	4.260959518518931
b3540	8.35218065458844	5.3125992259453	6.524416460197505	7.61122541863149	8.484281562093877	8.502180842091711	4.9033379489478754	7.1572617084446	7.68285097495489	9.786937874480259	7.388164303433605	8.234691509223644	6.41455488117835	8.47694832125643	9.36041630673823	7.71161955324897	8.330149623613885	8.37485804318528	8.936681975234926	8.116703735485629	8.0140384584978	8.089929883124794	8.109069500413835	7.46060979688062	8.456685702145439	7.26072071304056	9.341898422908816	7.65875350532418	6.948010193337015	9.03206515179945	5.98344133491423	8.00542770774609	8.04224307504468	7.74594458926618	6.68907404370268	7.371941274716715	6.950399347062405	5.957590243577441	7.469590720969675	5.75466172052638	7.682394576747025	7.401204647328555	7.33410770957698	7.237505085458445	7.327787521154875	7.043325158314605	7.46636431495557	5.969475980074234
b3541	8.18992328585711	5.452363663191409	6.59410622621228	7.597949025275315	8.152971678328536	8.165974642980235	5.08336862255233	6.971636631720401	7.3496427837635405	9.78985817729177	7.285724316031381	8.215978724825334	6.44276873139291	8.430365989583809	9.300092155789045	7.571614207521795	8.277351016727785	8.49800986182434	8.888503878780384	8.022844641317324	7.885397622812214	8.032554985300285	7.96981501141249	7.225405863629225	8.234727940518841	7.30635690227615	9.519506154091635	7.74727293308366	6.831407582637899	9.051149527576861	6.45177007677436	7.8810394746565	7.95483948453371	7.40392257085842	6.6343538964514845	7.415305550032745	6.868728657782465	6.0639304062577395	7.34401436186286	5.8565059388946	7.49073566675954	7.52565766477767	7.23319918349487	7.251949419233985	7.5217535732910505	7.0849263250437495	7.45780024965428	6.17087082422324
