log-TPM	fur__wt_fe	omics__bw_ac	omics__bw_fum	omics__bw_glc	omics__bw_pyr	cra_crp__wt_ac	cra_crp__wt_fru	rpoB__wt_lb	42c__wt_42c	ssw__wt_ac	ssw__wt_glc	ssw__wt_glyc	ssw__wt_xyl	ica__wt_glc	ica__arg_sbt	ica__cytd_rib	ica__gth	ica__leu_glcr	ica__met_glc	ica__no3_anaero	ica__phe_acgam	ica__thm_gal	ica__tyr_glcn	ica__ura_pyr	ica__ade_glc	ytf__wt_glc	ytf__wt_ph5	ytf__wt_ph8
b1813	5.680697814907139	6.291670294387416	5.738370629220954	6.075876685169705	5.936548424018775	6.60047323431707	6.35303556251673	6.41663542492209	6.55251983810043	6.41113343662475	6.19424978991372	4.7327653707092	6.17040210957787	5.43288216918742	5.393420313898311	6.04170577681019	6.888248717005765	5.449434097182465	5.07798198592872	6.210398352567	5.4888608452389605	5.76657392747396	5.272539558474675	5.181561669669605	5.629594256244045	5.67278124180204	6.25181637338492	6.05509008704398
b1814	5.37277123351059	5.40413344900971	5.617163828114995	5.773800448752905	5.510826037138855	5.19973374028388	5.17938580544679	9.32927417029051	6.37855096746888	6.05322670575447	5.0253911114486	7.81263108333737	6.70360051839103	5.567195213490876	7.6927205761781154	6.39347933292631	8.16129379889605	6.970315268081595	6.164544019825735	6.0951360883981405	5.56285863586502	5.578236718026515	5.63030308528764	5.63910914053944	5.891584596148309	6.243398553229585	6.349984015767595	6.08367500861176
b1815	2.913936358234155	3.88584854134493	3.01356248477028	3.670288751673579	3.52751684408413	4.397310630914035	4.223400253320095	4.2665775023327654	3.25679320310511	4.78848832125737	3.24342820273963	3.92820909480241	2.86225179091914	2.472671025194263	2.79085131008968	5.16667925085058	5.5903401239189545	2.66438470548956	1.9775528402244	3.443642980318215	2.219361562521935	3.681885005976526	2.44484618671947	2.8639038261272347	3.08119159456281	3.591783816053806	3.867129921841395	3.7859153207296
b1816	5.678791795353155	6.19683709656222	6.4433683243399695	6.479643082589095	6.731815428490145	5.872989900472125	6.30668388667919	6.76621205935635	6.96157521360076	6.04995220273239	6.09763815127281	7.08696883519546	5.05323269234777	6.224247619744596	7.07555196747871	5.649636700253655	5.867101775498146	6.45913074735633	6.37391360762124	5.55741447839556	6.431494418732415	6.174086175876955	6.2398936077773755	6.10682186681439	6.63432524785439	6.020425228234645	6.17490263363658	6.2496951174983355
b1817	9.533807985033183	9.076194268223766	8.400460472171524	8.842243537196879	8.18679428470875	9.70782644530521	10.75185453428655	9.058076164962554	9.26573432824544	8.08035770550457	8.89049947728505	9.54378600429298	10.4072169985043	9.568153807722927	9.91156254777722	10.200855884048847	7.08724771603416	7.1376949653603905	9.68215771221071	8.484853857236265	10.1227619531626	8.682502324619769	7.60488665224773	8.22369579893109	8.523198580118834	10.15540608726675	9.147040764910315	9.565932970031216
b1818	9.573235964558457	9.053701144713475	8.334931729559976	8.85286164500104	8.257105779755431	9.066887675321745	9.999132043641254	8.997576986612335	9.22546087064824	7.79780194091536	9.22420320871487	9.3659041171015	10.1584304840488	9.456492164595105	9.394357020878264	9.91267405225649	7.28834348403921	7.668191705560105	9.63258234195552	8.535869328902034	10.04715294475125	8.671783936362779	7.6197085772735	8.16068785831269	8.405805565255214	9.653008380046296	9.104111913845994	9.40631910224708
b1819	9.47110660184058	8.754057293588366	8.26143735286175	8.683086454766691	8.04978259271175	8.26199727298859	9.06179223076562	8.8775012927153	9.14487656178735	8.14933946891707	8.99408519448655	10.2110612865144	10.5801578772423	9.898220382497549	9.79291988003398	10.4022260059581	7.55362385354004	7.83396207635676	10.05850272166835	8.908847632891504	10.34966951249555	9.01687612792058	7.940831160619584	8.63041254566026	8.937357675224755	9.909327531020963	9.532943137949635	9.851530178834071
b1820	5.590508124839905	4.708681475267965	4.2537540067309	4.467659818883234	4.868842612362255	4.3873126892982	4.9031590810270504	4.321674787749745	4.23736037590052	4.67565935520465	5.45464613960159	5.35024869967101	5.44226955316136	5.640255828254738	5.56338090215411	4.53658762655639	3.754247303647955	5.07649995548625	6.189149440406656	5.2011958141342305	6.162738383096061	4.21924811667111	4.57476916890044	5.0735591178384105	5.434000017845445	5.543578380775729	5.549231778687325	5.870380862885315
b1821	2.4742326020658902	3.655355573675765	3.980724576206445	4.446632184396785	4.037766489151876	0.9566262355159576	0.8738599544804495	0.58250238854276	2.07535546061963	1.8921911133706	3.04096330315807	3.27945934263797	2.49799415677169	2.626646686839045	2.28458319838279	1.40087999899343	2.83136950085049	2.103906607541335	2.486979826849495	1.586762014189	2.4165646669921053	1.88285013315402	2.0033574322274053	2.285640596614375	3.2101863046212147	1.25309503851285	2.64028109421042	1.1042761070881384
b1822	6.085007999763025	5.753906718218889	5.76642079214088	6.123530672243785	5.807688714851455	5.086327373738831	4.769649639531	5.507908202567205	6.59516627367769	6.00704081597985	6.56503680997906	6.68471728524512	5.97416916328349	6.101453196807511	5.3475429917048505	4.726567152605395	6.20854185489407	6.472939107380175	6.2460402819194805	6.47040174100796	6.050595131365675	5.68201408275589	6.194627961243845	6.02499722465996	6.705503281005815	5.33012916513924	6.0364902343679	5.709133521852674
