log-TPM	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
b0763	48.0	6.578252877349606	0.9907856440213999	4.5983453550449305	5.985642089535201	6.23576535171139	7.1868347590923065	9.25237342315798	0.15061531724219604	0.02268497378796736	-0.00869802284750769	-0.029218988797722598	0.023452769282615894
b0764	48.0	5.61757919977854	0.8540544230256957	4.3389393814269805	4.929368223971837	5.330137484001627	6.276538358131432	7.928438513271001	0.15203246677133894	0.023113870952578285	-0.05697354519119561	-0.16497712198568806	-0.1617806769958226
b0765	48.0	5.320058262633677	0.8488667727187189	4.12009387198408	4.807172107390239	5.016304309059705	5.986882638550913	7.73566939062648	0.15955967600597107	0.025459290207130465	-0.08989937714394414	-0.25873855574404936	-0.23631922381302542
b0766	48.0	5.955414110636746	0.4617993999462673	4.16216693744596	5.790685017019704	6.017645834308087	6.240584948549158	6.619016857000631	0.07754278566816443	0.006012883609178887	0.14531138029738458	0.22751913343521948	0.16688382586750292
b0767	48.0	8.279750764924907	0.748096434592866	7.0285156753448	7.598348372071724	8.491346371919036	8.759007269686073	9.91868013849354	0.09035253062954375	0.008163579791162643	0.06275126428162005	0.15916405594776	0.14674267446970085
b0768	48.0	2.037129898973267	0.4480888773347361	0.7465466950766705	1.7830954353901012	2.0066480221730947	2.3653442133071865	2.833466589261445	0.21996087611328918	0.04838278702052575	-0.23510216247237048	-0.35717883806270356	-0.31085777063022835
b0770	48.0	1.0795564149015044	0.3772068322759279	0.0	0.8196388109888256	1.1187107584016314	1.3180475616735625	2.10845328584737	0.34940909717102936	0.12208671718587386	-0.1549699534152026	-0.19819467663502624	-0.2019544021558591
b0771	48.0	2.374694970382385	0.3700882760300198	1.6738866095919551	2.125993721555666	2.402768907997425	2.578114368873126	3.7554919807548	0.1558466584743835	0.024288180957631134	0.15676877709823922	0.19671153642864525	0.229967432132317
b0772	48.0	7.86754914103484	0.5925924822975676	6.0339928355593	7.559874020121493	7.948564658189802	8.291819918344693	8.81149178492829	0.0753211033925137	0.005673268616265739	0.15629567830902918	0.3140277589251611	0.3306189003035436
b0773	48.0	7.388046984480135	0.7645384404135037	5.80624725894835	7.047786212449983	7.357730436312058	7.800401927746834	8.94464020094146	0.10348315894844042	0.010708764185948185	-0.06376400930079107	-0.16528744837776016	-0.19554832165736682
b0774	48.0	6.160780145330872	1.402462961131913	3.00023889838958	5.33326642931682	6.355742664568113	7.078290730970676	8.82195831023327	0.22764372823704979	0.05182166700566378	-0.11418587954589368	-0.5429611230604438	-0.4142779685084304
b0775	48.0	6.8512398736143	1.5268620384555616	3.10375292223931	6.13622599888381	7.2483807155677376	7.791620491412795	9.635831390617874	0.22285922936895822	0.04966623611492593	-0.0902877923211294	-0.46740544151751423	-0.2992942524422718
b0776	48.0	5.9852228313698985	1.4162164975191314	2.1877272731508652	5.253475670788898	6.368538262740199	6.847590857354315	8.21435488616687	0.23661884234224703	0.05598847655138516	-0.09945099464071464	-0.4775333560175495	-0.331433232570301
b0777	48.0	5.464478813293547	1.3278009327270477	2.63882752626323	4.83632331340497	5.874397194564647	6.31323669866212	7.555310730152665	0.24298766233604563	0.059043004047536124	-0.08092006650091756	-0.3642957737423547	-0.25765472920207183
b0778	48.0	6.203127905817638	1.2815145695388845	2.77164211375058	5.860408330066301	6.49748710451919	6.941008740024607	8.415190818508751	0.2065916726200356	0.042680119195943965	-0.09388940297233844	-0.40794823460026125	-0.20097720343575012
b0779	48.0	7.10943290151964	0.49176083193152825	6.17216066199112	6.732367084175464	7.10060670789607	7.4613484938539685	8.701628181727825	0.0691701910325948	0.004784515327485659	-0.06677158060535104	-0.1113295681108843	-0.05765472448643074
b0780	48.0	6.1419745208901055	0.40649161138282147	5.23122331381225	5.872790532303615	6.12670033245611	6.348951761004978	7.6831321430023145	0.06618256230146523	0.004380131552787327	-0.07887425100147305	-0.10870556267955117	-0.1371335537219624
