yheD, b3323
b2335, b2335
yraK, b3145
b1490, b1490
cadA, b4133
b3050, b3050
ycdS, b1024
ygcB, b2761
b1372, b1372
yaiS, b0364
uxuB, b4325
yddA, b1496
b2373, b2373
yjgD, b4257
b1472, b1472
b1553, b1553
ydfE, b1577
b2375, b2375
ybeV, b0649
b1559, b1559
ycdQ, b1022
yi81_3, b2394
yabP, b0056
yjgW, b4276
hnr, b1235
yjhB, b4281
sfmH, b0533
b2442, b2442
ybcT, b0556
yeeO, b1985
yifB, b3765
ybfD, b0706
yjhQ, b4309
ydjE, b1769
b1547, b1547
ydcC, b1460
b2372, b2372
recT, b1349
dinD, b3645
yi81_2, b0582
yciQ, b1268
yhhI, b3484
