gene_name,GCI
BSC2,-0.7587373569614568
BSP1,-0.10337664550504366
BUD13,-0.7895081929210443
BUD6,-0.11575685054284922
BUG1,-0.6873649543354707
BUR6,-0.698999820952923
BXI1,-0.9120210225339864
BYE1,-0.6051091244647304
BZZ1,-0.8005981490686572
CAB1,-0.34452925515161725
CAB2,-0.6438345723138295
CAB4,-0.7116168446404911
CAB5,-0.9249587946238911
CAF16,-0.285637737686946
CAF4,-0.617251774067027
CAF40,-0.43564555468034794
CAJ1,-0.40697829354744836
CAK1,-0.9138295427644317
CAM1,-0.781849956731705
CAP1,-0.7152169579103376
CAP2,-0.4742119431387565
CAR1,-0.36546911511583346
CBK1,-0.32758032562302236
CBP4,-0.20705096379333907
CBR1,-0.11320316348715374
CCC1,-0.6893940471220594
CCC2,-0.6878471178481804
CCE1,-0.4709792868686917
CCL1,-0.6365612293695303
CCP1,-0.9636696404623338
CCT6,-0.7642515918895222
CCZ1,-0.31384753417077893
CDC1,-0.3063082546048206
CDC10,-0.060414434480103994
CDC15,-0.7177966998697282
CDC16,-0.6226208562040516
CDC19,-0.16527900229907352
CDC25,-0.43047331700884695
CDC28,-0.06951268297639035
CDC31,-0.6618524350014902
CDC34,-0.8867320764568887
CDC36,-0.38696666230543925
CDC37,-0.8018505025485235
CDC48,-0.55483739679181
CDC53,-0.20330550633939243
CDC55,-0.30684029947202834
CEF1,-0.7411136608326928
CEG1,-0.5542276720198637
CEM1,-0.3173266808963782
CET1,-0.4424647651467412
CFD1,-0.7847336420593359
CFT2,-0.33261525994958085
CHA4,-0.5616613011990688
CHC1,-0.308309927106115
CHK1,-0.6420692746216299
CHS1,-0.1764896581681505
CHZ1,-0.7147064956521182
CIN4,-0.4571874716706787
CIR2,-0.20571274458995364
CIT1,-0.23089883812795636
CIT2,-0.07994084054803781
CKB1,-0.3800863720909767
CKS1,-0.08326049980426826
CLC1,-0.23183875694594339
CLD1,-0.9332388503045045
CLF1,-0.6874784009479514
CLP1,-0.68159505768224
CMD1,-0.7197418278628265
CMK2,-0.6105155823185294
CMP2,-0.6071044089485691
CMS1,-0.04757014840213984
CNA1,-0.85477875850484
CNB1,-0.8506664270762196
CNE1,-0.34636961540607325
COA6,-0.5102065028132131
COG1,-0.4484812489993424
COG5,-0.6184749592301869
COG7,-0.5785741627882967
COG8,-0.3566286480834347
COQ10,-0.2690121454747973
COQ11,-0.7863987214161289
COQ3,-0.7582423623005382
COQ4,-0.9613413230753288
COQ6,-0.603870174143792
COQ9,-0.8846659095110889
COT1,-0.3720557592375548
COX13,-0.45448199132681655
COX20,-0.835379864247733
COX4,-0.019436382694486262
COX5B,-0.20144612537302148
COY1,-0.18758777898098183
CPA1,-0.6811526727568255
CPA2,-0.3309705355509907
CPD1,-0.5260385805903417
CPR1,-0.5114006411326811
CPR3,-0.43728990269594264
CPR6,-0.41966347375678864
CRC1,-0.8603525538227476
CRD1,-0.6214548714654492
CRG1,-0.8166251188165428
CRH1,-0.39879643858388375
CRP1,-0.3906283096567003
CSC1,-0.8721394258688476
CSE2,-0.7289648545623775
CSE4,-0.3973761822780406
CSG2,-0.639589317145498
CSI1,-0.9844138344925059
CSR1,-0.8223312280320082
CST6,-0.9743611451772947
CTF4,-0.11402628262117141
CTI6,-0.30869389126094116
CTK2,-0.16860363961141195
CTK3,-0.25189877469921806
