locus_tag,GCI,gene_name
b0585,-0.1979310851248894,fes
b0586,-0.19013940167462287,entF
b0587,-0.2551860756749365,fepE
b0588,-0.12551449291371913,fepC
b0589,-0.056657893098160626,fepG
b0590,-0.07589843651478136,fepD
b0591,-0.18198845996104548,entS
b0592,-0.20238711211696903,fepB
b0593,-0.21104143832645297,entC
b0594,-0.14195442101042774,entE
b0595,-0.15863026671743252,entB
b0596,-0.16598379603505328,entA
b0597,-0.22996936571380933,entH
b0598,-0.44841362591433453,cstA
b0599,-0.35268075642205904,hcxA
b0600,-0.34729372326172653,ybdL
b0601,-0.1976249557732294,ybdM
b0602,-0.4067901135909653,ybdN
b0603,-0.5625548203665005,ybdO
b0604,-0.35391875183164334,dsbG
b0608,-0.5854921688207777,ybdR
b0612,-0.4681858956824642,citT
b0615,-0.11085835249957694,citF
b0619,-0.403296500670664,dpiB
b0620,-0.04475312141346034,dpiA
b0622,-0.22638774872234627,pagP
b0623,-0.5791966754356676,cspE
b0624,-0.17654436934001702,crcB
b0627,-0.2635582697924032,tatE
b0628,-0.056898657312623765,lipA
b0629,-0.13822556599085165,ybeF
b0630,-0.10078073217662772,lipB
b0631,-0.3441564119542084,ybeD
b0634,-0.08632131290466198,mrdB
b0635,-0.078378177869323,mrdA
b0637,-0.012053327065330483,rsfS
b0638,-0.2806700997314853,cobC
b0639,-0.38968386373232083,nadD
b0640,-0.304702146425727,holA
b0643,-0.35234079829006537,ybeL
b0644,-0.38200983367737135,ybeQ
b0646,-0.4603942153668042,djlB
b0649,-0.47915553655971316,djlC
b0650,-0.3150157187316305,hscC
b0651,-0.2512076472051675,rihA
b0652,-0.24514268954591423,gltL
b0653,-0.3782031655517409,gltK
b0654,-0.4495679757356743,gltJ
b0655,-0.598475289051983,gltI
b0656,-0.11050345169155384,insH-3
b0657,-0.14703935633831983,lnt
b0658,-0.37572459421714566,ybeX
b0659,-0.42300157758540846,ybeY
b0660,-0.08628886113111858,ybeZ
b0681,-0.07959694512752574,chiP
b0682,-0.09484247467595186,chiQ
b0683,-0.07524934457626202,fur
b0684,-0.009569068808374732,fldA
b0685,-0.04144759367891323,ybfE
b0688,-0.010353967333894579,pgm
b0689,-0.35707210836645065,ybfP
b0692,-0.5853770622116444,potE
b0693,-0.29710308872582997,speF
b0695,-0.21154727684586058,kdpD
b0696,-0.3930266180545108,kdpC
b0697,-0.20893671535354433,kdpB
b0698,-0.23793104773119206,kdpA
b0700,-0.19007729672565438,rhsC
b0703,-0.2965148718200641,ybfO
b0704,-0.6011734038067067,ybfC
b0705,-0.2705912748965555,ybfL
b0707,-0.5379955955510445,ybgA
b0708,-0.49788617591090456,phr
b0709,-0.09809799727074223,dtpD
b0716,-0.4988217441636335,ybgO
b0718,-0.5334235336627864,ybgQ
b0720,-0.3859712523343518,gltA
b0721,-0.33088788787416695,sdhC
b0722,-0.2805722672861998,sdhD
b0723,-0.17383575324050163,sdhA
b0724,-0.17515325025494127,sdhB
b0726,-0.1601366283722357,sucA
b0727,-0.1544192411721805,sucB
b0728,-0.22515923260641826,sucC
b0729,-0.27210296138424883,sucD
b0730,-0.1597297735932958,mngR
b0731,-0.2643382650571269,mngA
b0732,-0.3581633983259514,mngB
b0735,-0.11791363451614936,ybgE
b0736,-0.5815218340603721,ybgC
b0737,-0.3303158262167336,tolQ
b0738,-0.4702931944781442,tolR
b0739,-0.31740454078073127,tolA
b0740,-0.36891679256319154,tolB
b0742,-0.178618645156107,cpoB
b0750,-0.11927970556170524,nadA
b0751,-0.27370854345710977,pnuC
b0753,-0.41541234807268934,ybgS
b0755,-0.010315890265229924,gpmA
b0756,-0.11949760667569821,galM
b0757,-0.11824700229943214,galK
b0760,-0.29306057748384956,modF
b0761,-0.004389618592273642,modE
b0762,-0.39926442595486616,acrZ
b0763,-0.03638398287620344,modA
b0764,-0.2926484879603525,modB
b0765,-0.40163348703854673,modC
b0767,-0.1557322418733831,pgl
b0768,-0.47711392641975847,ybhD
b0770,-0.1814501559393637,ybhI
b0771,-0.03890472817274465,ybhJ
b0773,-0.5212404191370116,ybhB
b0774,-0.48908351826057694,bioA
b0775,-0.46095348482058257,bioB
b0776,-0.43591682797280235,bioF
b0777,-0.30349873850089154,bioC
b0778,-0.2763444689256555,bioD
b0779,-0.13006129745324155,uvrB
b0780,-0.23282292393822274,ybhK
b0782,-0.17832048824904348,moaB
b0783,-0.040692209064376546,moaC
b0784,-0.38875236649923356,moaD
b0785,-0.03945992626499411,moaE
b0786,-0.29053946382567836,ybhL
b0787,-0.3941430891540788,ybhM
b0788,-0.5636095459136862,ybhN
b0789,-0.4859050807641974,clsB
b0790,-0.4386443930460816,ybhP
b0791,-0.36483987009552826,ybhQ
b0792,-0.2894041549455518,ybhR
b0793,-0.06857915649588815,ybhS
b0798,-0.24281644248090747,ybiA
b0802,-0.1980359327014694,ybiJ
b0803,-0.5189378744287098,ybiI
b0804,-0.27382151082647693,ybiX
b0805,-0.15010713451795005,fiu
b0806,-0.5397305544975092,mcbA
b0807,-0.018344821981293676,rlmF
b0808,-0.5992688844731306,ybiO
b0809,-0.10264311992888915,glnQ
b0810,-0.2245930532975513,glnP
b0811,-0.2112255332049836,glnH
b0812,-0.316109062721115,dps
b0813,-0.14958874990741794,rhtA
b0815,-0.24256564791590865,opgE
b0817,-0.43484238273344566,mntR
b0818,-0.3819195536380886,ybiR
b0819,-0.06305936866863432,ldtB
b0823,-0.24106514513625601,ybiW
b0828,-0.1481048566402134,iaaA
b0829,-0.18275833460289997,gsiA
b0830,-0.4531625235831691,gsiB
b0831,-0.5646497152276796,gsiC
b0832,-0.4611582971677088,gsiD
b0833,-0.2453452879941861,pdeI
b0834,-0.15424033023416922,dgcI
b0835,-0.06313485736879858,rimO
b0836,-0.10718958248520832,bssR
b0837,-0.5056719122659935,yliI
b0838,-0.5022446642299696,gstB
b0839,-0.2993709862961745,dacC
b0840,-0.10018946521655846,deoR
b0841,-0.2784884498285139,ybjG
b0842,-0.35234988247256066,mdfA
b0844,-0.05302787697513499,ybjI
b0846,-0.15347966066397967,rcdA
b0847,-0.2011522526545732,ybjL
b0849,-0.12920944437333226,grxA
b0853,-0.1156943253988456,ybjN
b0854,-0.5403912225622391,potF
b0855,-0.45035139804060625,potG
b0856,-0.5330932809671499,potH
b0857,-0.47639805454519346,potI
b0858,-0.2699386767710667,ybjO
b0859,-0.34749165769372603,rlmC
b0861,-0.21328168675735812,artM
b0862,-0.08908805988961759,artQ
b0863,-0.17648762896852346,artI
b0864,-0.16814034671053474,artP
