locus_tag,GCI,gene_name
b0200,0.058412577568749006,gmhB
b0214,0.020314301174206652,rnhA
b0222,0.33054407737415825,lpcA
b0223,0.026698404504095847,yafJ
b0237,0.6144293274021184,pepD
b0239,0.12970294562816542,frsA
b0242,0.48947225686560103,proB
b0243,0.3922706200296281,proA
b0259,0.06185898346772172,insH-1
b0264,0.0706185202355399,insB-2
b0268,0.05865290852203398,yagE
b0272,0.11431918344006675,xynR
b0274,0.14375847332447472,insB-3
b0287,0.07140632830318726,yagU
b0306,0.014146310548257128,ykgE
b0311,0.09651357747414384,betA
b0312,0.10080195184368806,betB
b0315,0.04113738316885882,pdeL
b0324,0.03145668610665161,yahJ
b0337,0.1354675139333799,codA
b0344,0.3321220251241565,lacZ
b0355,0.22071502384721156,frmB
b0369,0.5944378242971433,hemB
b0381,0.6294824100773606,ddlA
b0383,0.07392860621584076,phoA
b0386,0.12321967889226679,proC
b0387,0.013646421338271965,yaiI
b0391,0.2836331728517951,ppnP
b0393,0.25543708503536267,rdgC
b0397,0.1899830795906702,sbcC
b0398,0.11636505607795143,sbcD
b0401,0.4712510839316063,brnQ
b0402,0.5633069178249371,proY
b0405,1.6855703891713937e-4,queA
b0406,0.1185111696644508,tgt
b0408,0.18736504307481686,secD
b0410,0.013637398923744775,yajD
b0411,0.35725108326758626,tsx
b0413,0.16675770751428712,nrdR
b0414,0.3693552609082422,ribD
b0415,0.47147815513085173,ribE
b0416,0.30141215632430907,nusB
b0423,0.12325696322681337,thiI
b0424,0.17157803555633683,yajL
b0425,0.16624059947683273,panE
b0426,0.07587834280748709,yajQ
b0427,0.07809852394931559,yajR
b0428,0.33381877292729367,cyoE
b0429,0.10631032499708197,cyoD
b0430,0.22371517213864683,cyoC
b0431,0.1266206910209027,cyoB
b0433,0.06244157769098924,ampG
b0434,0.30052595384741704,yajG
b0436,0.43039933658509644,tig
b0437,0.2318738591462768,clpP
b0438,0.16561254909268572,clpX
b0439,0.17450845019781827,lon
b0441,0.6440665038718297,ppiD
b0442,0.08926282028300041,ybaV
b0444,0.37045805039246515,queC
b0450,0.05834433070404882,glnK
b0452,0.19227179158376004,tesB
b0459,0.18111552750077065,maa
b0462,0.2038417149710832,acrB
b0463,0.34010202459369615,acrA
b0465,0.011489233727957697,mscK
b0469,0.4000832181069842,apt
b0470,0.40259477018070405,dnaX
b0471,0.096973240059214,ybaB
b0472,0.36143320131347484,recR
b0473,0.03878303574081509,htpG
b0474,0.14390408314072148,adk
b0477,0.34089696099055183,gsk
b0479,0.2545999991359222,fsr
