locus_tag,mean_exp,gci,gene_name
b0629,2.4807696130200156,-0.13822556599085176,ybeF
b0638,4.488118858909873,-0.2806700997314854,cobC
b0644,2.386395489437185,-0.3820098336773713,ybeQ
b0646,1.4446471813207888,-0.4603942153668041,djlB
b0649,3.492580775015404,-0.4791555365597131,djlC
b0650,2.8913308159779483,-0.3150157187316305,hscC
b0653,5.386825692430404,-0.3782031655517411,gltK
b0654,5.514474967521218,-0.4495679757356746,gltJ
b0681,2.7488219728280843,-0.0795969451275258,chiP
b0682,3.0843153102020513,-0.09484247467595185,chiQ
b0685,5.22195178676428,-0.04144759367891325,ybfE
b0689,3.013052631119881,-0.35707210836645065,ybfP
b0692,3.8017649319527256,-0.5853770622116445,potE
b0693,1.701966380811469,-0.2971030887258299,speF
b0695,5.409170006176505,-0.2115472768458607,kdpD
b0696,3.736389271566467,-0.39302661805451095,kdpC
b0697,2.7385731101997703,-0.2089367153535444,kdpB
b0698,1.4354347029330892,-0.2379310477311921,kdpA
b0700,3.1959714089335733,-0.19007729672565457,rhsC
b0703,2.100895150655804,-0.2965148718200641,ybfO
b0704,2.8188072209339388,-0.6011734038067071,ybfC
b0705,0.9586857271066036,-0.2705912748965554,ybfL
b0707,4.948404241007455,-0.5379955955510447,ybgA
b0708,4.858459399466926,-0.4978861759109048,phr
b0709,4.531675901525807,-0.09809799727074228,dtpD
b0716,2.016002484447185,-0.4988217441636338,ybgO
b0718,0.9706327204418628,-0.5334235336627866,ybgQ
b0730,5.045972899547326,-0.1597297735932958,mngR
b0731,0.8641620286090979,-0.26433826505712693,mngA
b0732,4.111138948124385,-0.35816339832595157,mngB
b0753,4.507242892003187,-0.4154123480726897,ybgS
b0764,5.32923525269298,-0.29264848796035253,modB
b0765,5.096146854726768,-0.4016334870385468,modC
b0768,1.9496268663921752,-0.4771139264197585,ybhD
b0770,1.1466710255304862,-0.1814501559393636,ybhI
b0771,2.3488333215254333,-0.03890472817274459,ybhJ
b0784,4.501498435630675,-0.3887523664992336,moaD
b0787,2.608193769708987,-0.39414308915407914,ybhM
b0788,3.2678216946792267,-0.5636095459136866,ybhN
b0789,4.5131829684665785,-0.48590508076419736,clsB
b0790,4.814986065239707,-0.4386443930460817,ybhP
b0792,4.164451213455203,-0.2894041549455517,ybhR
b0793,4.354808912276746,-0.06857915649588815,ybhS
b0798,3.456510973234974,-0.24281644248090764,ybiA
b0802,4.6057470031005066,-0.19803593270146944,ybiJ
b0803,4.274677601040178,-0.51893787442871,ybiI
b0804,4.189853603004453,-0.273821510826477,ybiX
b0806,4.053223737105703,-0.5397305544975092,mcbA
b0808,3.577022844650289,-0.5992688844731308,ybiO
b0813,3.914304917431548,-0.14958874990741802,rhtA
b0815,4.380580301404436,-0.24256564791590884,opgE
b0818,4.476687495218386,-0.3819195536380885,ybiR
b0823,2.755214802615321,-0.24106514513625596,ybiW
b0832,4.685499884082079,-0.46115829716770906,gsiD
b0833,4.8568103527386555,-0.245345287994186,pdeI
b0834,4.300464341682908,-0.15424033023416928,dgcI
b0837,4.126528454925895,-0.5056719122659935,yliI
b0842,4.858962735665065,-0.3523498824725606,mdfA
b0846,4.368807228767271,-0.15347966066397978,rcdA
b0849,4.731697823138823,-0.12920944437333218,grxA
b0856,4.3047461456620715,-0.5330932809671499,potH
b0857,4.744068207547444,-0.47639805454519363,potI
b0858,4.472498721662928,-0.26993867677106687,ybjO
b0859,4.633951489555433,-0.34749165769372625,rlmC
b0875,4.348715137724514,-0.5505332470847206,aqpZ
b0879,5.290097504869928,-0.4298021862313086,macB
b0899,2.359274670304756,-0.2667767263179141,ycaM
b0900,4.148427264141007,-0.2111675893171868,ycaN
b0901,2.426430140268661,-0.2029739225329095,ycaK
b0906,4.753708791767002,-0.5953398536875859,ycaP
b0909,3.6963123303179426,-0.03642537129356533,ycaL
b0913,3.1465327340639924,-0.47176014130982735,ycaI
b0916,4.1677162584076735,-0.43078182789500424,ycaQ
b0917,4.623862356746457,-0.00231720117507669,ycaR
b0920,4.472427652785756,-0.4035677402070517,elyC
b0933,3.3627967973159234,-0.4464564388305819,ssuB
b0934,1.4625618911249687,-0.28433972624723297,ssuC
b0935,2.491336572548342,-0.2763366835102119,ssuD
b0936,2.2040517280179595,-0.3307430110515809,ssuA
b0937,1.7488538176727333,-0.328942838499415,ssuE
b0940,2.453581725335999,-0.49266308134506154,elfC
b0941,3.6490687633989713,-0.5119198775410002,elfG
b0942,2.7771828521478077,-0.3988265075888045,ycbU
b0943,2.68987815597726,-0.2608176054012612,ycbV
b0944,3.5551772843167933,-0.465367014516214,ycbF
b0950,4.885444638757207,-0.2162077130409174,pqiA
b0959,4.7243300680837095,-0.3334459961631778,sxy
b0961,5.04026873835323,-0.2185568361643267,yccF
b0964,3.892099716907667,-0.5253416305297096,yccT
b0968,4.392807789079023,-0.30368891625849487,yccX
b0972,1.1832904387686929,-0.1726886032923592,hyaA
b0973,1.631414082998002,-0.268250450179649,hyaB
b0974,1.9410255640826537,-0.4153955674975893,hyaC
b0975,2.9926950883484533,-0.23201465176060035,hyaD
b0976,1.760787799293831,-0.23471979029926188,hyaE
b0977,2.542742869767714,-0.4476691356596949,hyaF
b0978,4.03475344771106,-0.31490262376490863,appC
b0979,3.692749699284688,-0.33515954574234974,appB
b0980,4.679328994604537,-0.3781201670151611,appA
b0981,4.759696384066782,-0.2775875915063699,etk
