GCI,gene_name
-0.11118835854722851,fabB
-0.6147495425966553,fadA
-0.5240751321135283,fadB
-0.21630522111512057,fadD
-0.512091317818298,fadE
-0.4964970337964543,fadH
-0.43968453437351435,fadI
-0.3220359463574502,fadJ
-0.270716040755888,fadL
-0.7486819056159824,fadM
-0.9139315736428942,fbaB
-0.12641812178733922,fdhD
-0.7163222606907794,feaB
-0.18526598474401906,fecA
-0.2789037154588281,feoB
-0.5001080638900607,fepB
-0.27162934118021265,fepC
-0.0030155428657795517,fes
-0.6354870683603245,fhuA
-0.11898517217841875,fhuE
-0.18167461586541955,fhuF
-0.31123353710281787,flgH
-0.20811770261088608,flgM
-0.2648626625769919,fliA
-0.3728444664940831,fliC
-0.007729484926325025,fliJ
-0.8087712117458208,fliY
-0.01033830850962717,flu
-0.5965538781875998,focA
-0.20798955286626006,folD
-0.4578002512202017,folE
-0.5838671120533504,folM
-0.2633523836106058,fpr
-0.2620498541360409,fre
-0.21752990263903205,frlR
-0.34007277718732837,frsA
-0.1407375342006855,fruA
-0.3180159393879356,fsaA
-0.44018744509353497,ftsA
-0.3649969631317899,ftsE
-0.5988910883138351,ftsN
-0.29450585395450357,ftsX
-0.35702747655953304,fucO
-0.5956145384945067,fucU
-0.054347746415282006,fumA
-0.4970156314256163,fumC
-0.5472901573109087,gabD
-0.5614949259630574,gabT
-0.029175983007322624,gadA
-0.11390308579674047,gadB
-0.07319286633178683,gadC
-0.02712321429353688,galE
-0.07034926034046703,galF
-0.019290695015419992,galK
-0.11456561634078308,galM
-0.37568750442223614,galS
-0.028583577518599988,galU
-0.1704924045923389,gatA
-0.29520105934448754,gatB
-0.2665687733477118,gatC
-0.29255010759614203,gatD
-0.023162987128539557,gatR
-0.4497542436429107,gatY
-0.07082194130327565,gatZ
-0.1633929119632541,gcd
-0.7048034764154452,gcvA
-0.7335279149224673,gcvR
-0.7877137850261224,gdhA
-0.3062406927634485,ggt
-0.2628749148761093,ghrA
-0.12161464495092202,ghrB
-0.39545808467275495,ghxP
-0.3926015944603029,glcA
-0.5399293222226479,glcB
-0.2618913677051218,glcC
-0.22267095898335162,glcF
-0.37824946746347277,glcG
-0.5040847026598441,gldA
-0.6693248493577978,glgA
-0.5001847988822369,glgB
-0.6202872857403486,glgC
-0.818878981532463,glgP
-0.6700056539809464,glgX
-0.6296428791996685,glk
-0.4800821015909191,glnA
-0.23916285578945218,glnD
-0.7130931709895186,glnE
-0.4614664390544642,glnG
-0.7102308548488212,glnH
-0.21970615389744244,glnK
-0.48641368648427596,glnL
-0.4451488342458111,glnP
-0.7027911992803824,glnQ
-0.4910613441179974,gloA
-0.6732400076867381,gloB
-0.09559731906632396,glsA
-0.6017572267052919,gltA
-0.7413870903282572,gltB
-0.7977066296490378,gltD
-0.8878312334574274,gltI
-0.8089309942109913,gltL
-0.35206434639084777,glyA
-0.7099989580804266,gmhA
-0.5542337330947065,gmhB
-0.4417245975095084,gnsB
-0.5285319369884026,gor
-0.12137225811550198,gpmA
-0.09901652637165734,gpmB
-0.2436841811279725,gppA
-0.5829965396714935,gpr
-0.16156456252788245,greB
-0.4731568604950201,grxB
-0.47779406107804234,grxC
-0.11930134073896702,grxD
-0.30484322149104165,gshA
-0.6765015979188654,gshB
-0.711455372067384,gsiA
-0.7730965687312312,gsiB
-0.7754433414730842,gsiC
-0.030533627592007635,gss
-0.9456692395188657,gstA
-0.7378347813931143,gstB
-0.12774834659622158,guaC
-0.16427489626021116,gudD
-0.004471246502671499,gutQ
-0.4310374891399928,hchA
-0.4435352903099709,hdeA
-0.14487216850240656,hdeB
-0.3304077138207924,hdeD
-0.6036241703910006,hdhA
-0.3047022525753568,helD
-0.1345362042883286,hemA
-0.5280683408576315,hemD
-0.055807904181820085,hemX
-0.30518482996665613,hemY
-0.1451454656920821,hexR
-0.09821646785035108,hflD
-0.11920257256451057,hflK
-0.23510462829650147,hflX
-0.03255992911764745,hfq
-0.8748408884266553,hicB
-0.5589711497580335,hinT
-0.3498078157698911,hisA
-0.5495093106728138,hisB
-0.5538917583131817,hisC
-0.41964424476510875,hisD
-0.4301485774323909,hisF
-0.5253410347700009,hisG
-0.2308980556991718,hisH
-0.23706089880586928,hisI
-0.8455839942115803,hisJ
-0.9185990229749454,hisP
-0.6919349965447418,hisQ
-0.6367501210008943,hiuH
-0.29486151945046757,hns
-0.0219104737415402,holB
-0.6364912296721487,hpf
-0.26039469320689174,hslR
