gene_name,GCI
ARO80,-0.18981458205679913
ARP2,-0.8713656568466168
ARP3,-0.659182859662849
ARP4,-0.8679682559835107
ARP6,-0.6670818185156658
ARP8,-0.9065858175997821
ARP9,-0.6936494002067426
ASG1,-0.38243892505101285
ASH1,-0.7698409402623124
ASI1,-0.2446987693485225
ASK10,-0.3910961505833338
ASM4,-0.6153408018800653
ASN1,-0.43421735595219546
AST1,-0.5055050796378759
AST2,-0.2674471843904649
ATG1,-0.9173729413998887
ATG11,-0.9346742920678381
ATG15,-0.9217474463032429
ATG17,-0.3759436886222414
ATG20,-0.8895078246984915
ATG21,-0.8724150139742244
ATG23,-0.9325204701978645
ATG26,-0.6831019292178552
ATG27,-0.9026035042680954
ATG3,-0.3035097513436942
ATG38,-0.9369396560870807
ATG4,-0.7721375562821243
ATG40,-0.09622001068588672
ATG5,-0.8298250541040241
ATG7,-0.3686216252528348
ATM1,-0.6297908166106145
ATO2,-0.39933163121179743
ATP1,-0.09702149858019933
ATP15,-0.3898525074744705
ATP18,-0.23669733166970877
ATP20,-0.08370261946021977
ATP4,-0.4841498109861145
ATP5,-0.4972720067388422
AVL9,-0.7366163700300206
AVT3,-0.43302546764800676
AVT5,-0.8258680374917713
AVT6,-0.6526628251294025
AXL1,-0.5531706056314883
AYR1,-0.7287127675504093
AZF1,-0.9281592919699944
BAP2,-0.6626500697431685
BAR1,-0.36081982739897894
BAT2,-0.6900118111665599
BBC1,-0.5138410523746553
BBP1,-0.6283724799278623
BCH1,-0.7220037700654255
BCH2,-0.8655884556450514
BCP1,-0.4800878136425188
BCY1,-0.9241370595449345
BDF1,-0.27555630083682386
BDH2,-0.38400615942215094
BDP1,-0.2924227879576944
BEM2,-0.1453610570789141
BEM4,-0.12611717331495081
BET1,-0.6333791346434293
BET2,-0.8647515234152686
BET4,-0.8842598191272489
BGL2,-0.7309909224521796
BIG1,-0.7457346291057447
BIK1,-0.21777516190058024
BLM10,-0.3560672625308651
BNA1,-0.827319362379687
BNA2,-0.8376900581130348
BNA4,-0.44130240758396094
BNA5,-0.7756723282284896
BNA6,-0.8631594732398203
BNA7,-0.8806676918454357
BOI2,-0.6291596231734154
BOL1,-0.6067043481074588
BPT1,-0.7210168416098242
BRE1,-0.5157754554597149
BRE4,-0.42164861215830757
BRO1,-0.7844490323618418
BSC2,-0.38400305869459295
BSP1,-0.48545344678711755
BUB3,-0.6026654565101035
BUD2,-0.7270233292237872
BUL1,-0.5271033868987479
BUR6,-0.7151601078001962
BXI1,-0.9101173186968063
BYE1,-0.09914702927601046
BZZ1,-0.8108561978497906
CAB1,-0.525400536570101
CAB2,-0.6075993178078668
CAB4,-0.6289480637324842
CAB5,-0.8838700379006996
CAF16,-0.8961033065435107
CAF40,-0.7521282918709327
CAJ1,-0.5658480411509041
CAK1,-0.9217364299671474
CAM1,-0.4577473561277827
CAP1,-0.6407357705455267
CAR1,-0.566132708945812
CBF1,-0.385083901369668
CBF2,-0.5141432136388291
CBK1,-0.24037789958400244
CBP2,-0.5501166799836781
CBR1,-0.62108005310304
CBS2,-0.5712622717900855
CCA1,-0.044812280020711595
CCC1,-0.43574669616181
CCC2,-0.38310397470521007
CCE1,-0.4464869287712894
CCM1,-0.058925488152781216
CCP1,-0.710484579913093
CCR4,-0.712634870383859
