locus_tag,GCI,gene_name
b1167,-0.45731565377163647,ymgC
b1168,-0.7234250098470693,pdeG
b1171,-0.32582257748016663,ymgD
b1172,-0.07617170084795546,ymgG
b1174,-0.25742464489020045,minE
b1175,-0.2621137389059365,minD
b1176,-0.024096884223185382,minC
b1177,-0.3699611994336118,ycgJ
b1178,-0.13736789926070286,pliG
b1179,-0.2754942283031735,ycgL
b1180,-0.13738817146612917,ycgM
b1181,-0.598280451355497,ycgN
b1182,-0.3521973590849674,hlyE
b1183,-0.48572423788691704,umuD
b1184,-0.37196153647977037,umuC
b1187,-0.14562426977190937,fadR
b1188,-0.5841709887468491,ycgB
b1191,-0.449901396434912,cvrA
b1193,-0.17141716248943045,emtA
b1194,-0.3499906122425446,ycgR
b1195,-0.7075758724872548,ymgE
b1196,-0.49399015895197324,ycgY
b1197,-0.4184400583061231,treA
b1198,-0.059658750836247915,dhaM
b1199,-0.020334986203053008,dhaL
b1201,-0.13239945050169577,dhaR
b1202,-0.2430311855080307,ycgV
b1204,-0.20121579405634063,pth
b1205,-0.28195196313108545,ychH
b1207,-0.1334717836862551,prs
b1208,-0.16123887837793408,ispE
b1213,-0.2589220767969474,ychQ
b1214,-0.2409791832708959,ychA
b1217,-0.6740841667870804,chaB
b1218,-0.575964756847543,chaC
b1219,-0.2993027184821568,ychN
b1220,-0.47672775341766843,ychO
b1225,-0.018532440138150707,narH
b1226,-0.0022599108445732785,narJ
b1227,-0.08838552779341154,narI
b1233,-0.31482597335955426,ychJ
b1234,-0.5564184300390513,rssA
b1235,-0.5278812431723559,rssB
b1236,-0.06688997628707924,galU
b1237,-0.005805380663296187,hns
b1238,-0.1711566285285489,tdk
b1242,-0.014429997966695016,ychE
b1248,-0.01881582373378129,yciU
b1250,-0.4323561695558473,kch
b1251,-0.2505614045281196,yciI
b1252,-0.4113744668076378,tonB
b1253,-0.13971345061195511,yciA
b1254,-0.24219133433601808,yciB
b1257,-0.4286505460795362,yciE
b1258,-0.44768021928833235,yciF
b1259,-0.7357715144039394,yciG
b1266,-0.3436837469236444,yciV
b1267,-0.3795555369332125,yciO
b1268,-0.5839440581029682,yciQ
b1269,-0.1782414239900808,rluB
b1270,-0.20534549813837175,btuR
b1271,-0.07879398014998175,yciK
