locus_tag,mean_exp,gci,gene_name
b0592,5.67369990508903,-0.2023871121169692,fepB
b0593,5.74797763438494,-0.21104143832645308,entC
b0594,6.083973104821343,-0.1419544210104277,entE
b0595,6.184118471093051,-0.15863026671743266,entB
b0596,5.941972145561857,-0.16598379603505337,entA
b0598,7.620120643645269,-0.4484136259143348,cstA
b0599,5.989148222524004,-0.3526807564220592,hcxA
b0600,5.778125737843642,-0.3472937232617264,ybdL
b0604,5.9275278187647125,-0.35391875183164323,dsbG
b0623,12.104398702885254,-0.5791966754356678,cspE
b0628,8.382922491333062,-0.0568986573126238,lipA
b0630,6.6143083358842425,-0.10078073217662774,lipB
b0631,7.624490821450216,-0.3441564119542082,ybeD
b0634,6.072121954613303,-0.08632131290466195,mrdB
b0635,6.379683523635113,-0.07837817786932301,mrdA
b0637,6.932213442595713,-0.0120533270653305,rsfS
b0639,6.5339558993879745,-0.3896838637323209,nadD
b0640,6.8572572260131945,-0.30470214642572707,holA
b0643,7.185018118091467,-0.3523407982900653,ybeL
b0651,6.020067259210904,-0.25120764720516753,rihA
b0652,6.4223715675170885,-0.2451426895459143,gltL
b0655,8.495083957982503,-0.5984752890519831,gltI
b0656,7.929332789965046,-0.1105034516915538,insH-3
b0657,6.572059024799542,-0.14703935633831983,lnt
b0658,8.683776232665776,-0.3757245942171457,ybeX
b0659,7.4594180017850436,-0.4230015775854084,ybeY
b0660,8.389508981931268,-0.08628886113111861,ybeZ
b0683,9.41809615047097,-0.07524934457626202,fur
b0684,9.000663052671836,-0.00956906880837452,fldA
b0688,8.835428459029151,-0.01035396733389441,pgm
b0720,11.286949623557904,-0.38597125233435187,gltA
b0721,8.10796624407301,-0.33088788787416706,sdhC
b0722,7.801142373702415,-0.2805722672861998,sdhD
b0723,9.727422063583036,-0.1738357532405016,sdhA
b0724,9.776364957260649,-0.1751532502549413,sdhB
b0726,9.610734463262224,-0.16013662837223577,sucA
b0727,10.174966691312047,-0.15441924117218053,sucB
b0728,10.317492465503538,-0.22515923260641835,sucC
b0729,10.464184524893378,-0.2721029613842487,sucD
b0735,6.439199348995479,-0.11791363451614932,ybgE
b0736,7.385291212814319,-0.581521834060372,ybgC
b0737,7.625887835376425,-0.33031582621673344,tolQ
b0738,6.383850697010341,-0.4702931944781441,tolR
b0739,6.942960041086266,-0.3174045407807313,tolA
b0740,9.335363742371902,-0.368916792563192,tolB
b0742,9.151874679826156,-0.17861864515610715,cpoB
b0750,8.148364633125832,-0.11927970556170536,nadA
b0751,7.5582340910860095,-0.2737085434571097,pnuC
b0755,10.885015285264684,-0.01031589026523012,gpmA
b0756,8.688323293549066,-0.11949760667569836,galM
b0757,6.856118058870376,-0.11824700229943214,galK
b0760,7.13264301289672,-0.2930605774838494,modF
b0761,6.236131369202852,-0.00438961859227365,modE
b0762,5.916293499871614,-0.3992644259548665,acrZ
b0763,6.2873053441208855,-0.03638398287620343,modA
b0767,8.072092477786207,-0.15573224187338325,pgl
b0773,7.179633375538647,-0.5212404191370117,ybhB
b0774,6.116256940968692,-0.48908351826057694,bioA
b0775,6.855412856409522,-0.4609534848205827,bioB
b0776,6.081752089629604,-0.4359168279728022,bioF
b0777,5.612726003949933,-0.3034987385008915,bioC
b0778,6.323095343314886,-0.27634446892565573,bioD
b0779,7.085233414917402,-0.13006129745324163,uvrB
b0780,6.0641586901016495,-0.2328229239382228,ybhK
b0782,8.015743551979353,-0.17832048824904354,moaB
b0783,7.648386864047042,-0.04069220906437661,moaC
b0785,7.386395716972539,-0.03945992626499411,moaE
b0786,7.874397754611229,-0.2905394638256783,ybhL
b0791,5.588040255511402,-0.3648398700955282,ybhQ
b0805,5.666774810185674,-0.15010713451795,fiu
b0807,5.749565430129,-0.01834482198129367,rlmF
b0809,8.186436304503315,-0.10264311992888918,glnQ
b0810,7.937586487816753,-0.2245930532975513,glnP
b0811,9.711496751690412,-0.21122553320498383,glnH
b0812,9.733641255577645,-0.31610906272111516,dps
b0817,6.301397270244257,-0.4348423827334456,mntR
b0819,8.602288196566494,-0.06305936866863437,ldtB
b0828,8.664492533064088,-0.14810485664021328,iaaA
b0829,7.722772457021817,-0.18275833460289992,gsiA
b0830,7.20194247440785,-0.4531625235831695,gsiB
