GCI,gene_name
0.6746760506598872,COG4
0.06136841236333142,COG6
0.5663573852058384,COP1
0.7493343919315931,COQ1
0.6792162186685635,COQ2
0.28098211223617237,COQ5
0.09979468386344502,COQ8
0.06427239319773749,COR1
0.22558624013159537,COX12
0.11296812901273989,COX14
0.309999496521274,COX15
0.8245012208637084,COX17
0.1931786266384261,COX23
0.07157241325847762,COX5A
0.19024476388211395,COX6
0.04647167387425004,COX8
0.10929716901165039,COX9
0.6268118389946357,CPR7
0.4506701487776891,CPS1
0.09397774109123672,CPT1
0.46512591779500545,CRM1
0.6478846201077373,CRN1
0.8957596863574948,CSE1
0.4633085108185195,CSL4
0.03299613366001662,CSM2
0.6296025934417142,CSN12
0.851226133658644,CST26
0.04225625648196942,CTK1
0.6864566204545327,CTP1
